id,sequence,name,default_code,list_price,standard_price,product_variant_ids/id,type,is_storable,route_ids/id
__export__.product_template_47_6a3d5615,1,chair,,25,0,__export__.product_product_54_eb19f380,consu,true,"mrp.route_warehouse0_manufacture"
__export__.product_template_44_67fbc973,1,chair leg,,1,0,__export__.product_product_55_ac47c67d,consu,true,"mrp.route_warehouse0_manufacture"
__export__.product_template_46_a06bf0d6,1,cushion,,1,0,__export__.product_product_56_ea472d4f,consu,true,"purchase_stock.route_warehouse0_buy"
__export__.product_template_48_019c3042,1,varnish,,1,0,__export__.product_product_57_9ea5498d,consu,true,"purchase_stock.route_warehouse0_buy"
__export__.product_template_43_c7599540,1,varnished chair,,90,45,__export__.product_product_57_5aef267e,consu,true,"mrp.route_warehouse0_manufacture"
__export__.product_template_49_40dcdfdc,1,DIY varnished chair,,1,0,__export__.product_product_597_5ee4267e,consu,true,"mrp.route_warehouse0_manufacture"
__export__.product_template_45_403ca5bc,1,wooden beam - 木头,,1,0,__export__.product_product_58_8eba4d11,consu,true,"purchase_stock.route_warehouse0_buy"
__export__.product_template_50_40a23f1c,1,custom chair,,1,0,__export__.product_product_11_ebf9f123,consu,true,"stock.route_warehouse0_mto,mrp.route_warehouse0_manufacture"
__export__.product_template_44_67fde973,1,custom chair leg,,1,0,__export__.product_product_55_deac98ed,consu,true,"stock.route_warehouse0_mto,mrp.route_warehouse0_manufacture"
__export__.product_template_46_a99bf0d6,1,custom cushion,,1,0,__export__.product_product_56_ea478d4f,consu,true,"stock.route_warehouse0_mto,purchase_stock.route_warehouse0_buy"
